gene,log2FC,pvalue,padj,-log10_padj,Significance
F13B,0.25867219374937267,0.31562642740855684,0.5373963877889403,0.26970525708521553,Not Significant
BDP1,-0.08485271162027087,0.3157098353100076,0.5374984025517505,0.26962282213606087,Not Significant
PFN4,-0.13402095266807246,0.31573348253013095,0.5374986666881991,0.26962260871594024,Not Significant
TCTN2,-0.0912407798211221,0.3157594871483946,0.5375029436764577,0.26961915295851263,Not Significant
IFI6,0.14535654708069773,0.3158355550664137,0.5375258715525607,0.26960062796656126,Not Significant
LIN7A,-0.1374470153753377,0.315843436064363,0.5375258715525607,0.26960062796656126,Not Significant
SLC45A2,0.15218375037684745,0.31580565552082174,0.5375258715525607,0.26960062796656126,Not Significant
KIR2DL4,0.14340026128027428,0.3158695930654655,0.537530404562131,0.26959696553309326,Not Significant
MPV17,0.05921193849864577,0.315899949065165,0.5375420820028987,0.269587530917006,Not Significant
RIIAD1,-0.1293810672294226,0.31594773162061474,0.5375834089001015,0.2695541431058713,Not Significant
HPCA,0.18281760627072766,0.3161945788577594,0.5379634119769137,0.2692472606103269,Not Significant
LOC732360,0.06807647472616034,0.3162597345584677,0.5380025859727311,0.26921563684106736,Not Significant
RBM24,-0.29033343382574506,0.31626463205127764,0.5380025859727311,0.26921563684106736,Not Significant
BTBD8,0.24751914380464352,0.31629074182005784,0.538007001177825,0.2692120727479001,Not Significant
KLHL25,-0.18636820420058148,0.31640917508339567,0.5381284416790376,0.2691140535996039,Not Significant
TMEM214,-0.08718500653200424,0.3163984506168952,0.5381284416790376,0.2691140535996039,Not Significant
LINC01225,0.11620882323384688,0.31648596204018126,0.5382172915075744,0.26904235360739975,Not Significant
ZMYM5,-0.07434712591699172,0.3165084640399656,0.5382172915075744,0.26904235360739975,Not Significant
C10orf25,0.2014919103607687,0.31657890981185477,0.5382679189681303,0.2690015035770334,Not Significant
RPUSD1,-0.0694136267711769,0.31660881352592213,0.5382679189681303,0.2690015035770334,Not Significant
SNCAIP,-0.14794496365524257,0.3165979171787167,0.5382679189681303,0.2690015035770334,Not Significant
TMEM52,0.19668475530097607,0.3169142782146069,0.538747208971707,0.2686149667269451,Not Significant
SNORA21,0.14177700733594767,0.31696565416193667,0.5387945146526828,0.2685768343822327,Not Significant
TKTL2,-0.21520641141593683,0.3169935637312577,0.5388019269126496,0.26857085978269263,Not Significant
SOX12,0.10171430007034608,0.3170239896076148,0.5388136147840014,0.268561439023921,Not Significant
SH3BGRL,-0.05327951964626407,0.3171001551869347,0.5389030342922875,0.26848937110301513,Not Significant
LOC101929855,0.20761039091548716,0.3171326932146006,0.538918302194746,0.2684770670864514,Not Significant
GNB1,-0.060433524268915725,0.3171967120309528,0.5389870606214778,0.26842166072818546,Not Significant
SLC5A12,0.1666927946940011,0.3172890619469005,0.5391039460378051,0.2683274892877204,Not Significant
KRT27,0.21518420259270507,0.3173234060933765,0.5391164733691823,0.26831739756474343,Not Significant
SLC5A6,-0.10591056175258559,0.31734356046049594,0.5391164733691823,0.26831739756474343,Not Significant
GABRA1,-0.17804672897196183,0.31746258878678624,0.5392786421740047,0.26818677935888,Not Significant
LOC441155,-0.08940019428532876,0.3175640266722647,0.5394109079629856,0.26808027549485425,Not Significant
SMCO3,-0.18569420158777888,0.31759305542828864,0.5394201698611272,0.2680728185512463,Not Significant
NPRL3,-0.06939176967138848,0.3176388046466372,0.539457827368992,0.26804250104006055,Not Significant
CTB-31O20.2,-0.11492091247110692,0.31770108428900123,0.5394835096135037,0.26802182585283,Not Significant
LOC101927552,-0.22684463872977464,0.3176867234955159,0.5394835096135037,0.26802182585283,Not Significant
CCL5,-0.18088202190734384,0.317816462783817,0.5396389700527834,0.26789669527187615,Not Significant
LOC101927900,-0.17029072455029526,0.3178398059629069,0.5396389700527834,0.26789669527187615,Not Significant
SMARCE1P2,0.19628107727866625,0.3178920975818125,0.5396877044351022,0.2678574762405399,Not Significant
TTTY15,0.2612750477338974,0.31795644815800844,0.5397569026454395,0.267801795011969,Not Significant
UBE2B,0.052197137401842855,0.31799670412012404,0.5397851910578261,0.2677790344332463,Not Significant
PHIP,-0.06825127122902051,0.31808819197599353,0.5398747942280565,0.2677069484746819,Not Significant
RP11-422P24.11,-0.20125293940307387,0.31809668273550834,0.5398747942280565,0.2677069484746819,Not Significant
